Album ID,Artist IDs,Artist(s),ID,Popularity,Query,Rank,Release Date,Song,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Primary Artist ID,Genres,Top Genre
1wBFRaacNYmqfkidUZ0NtM,'17lzZA2AlOHwCwFALHttmp',2 Chainz,6J5sxraPPZ4b0CVOGAgpXj,59.0,track:I m Different artist:2 Chainz,99.0,2012-01-01,I m Different,2013.0,0.936,0.702,10,-5.305,1,0.0615,0.0473,0.0,0.0838,0.704,97.524,207040,4,17lzZA2AlOHwCwFALHttmp,"atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",hip hop/rap
2bVr7AMmHlGmRtCI1A0cwf,'59hLmB5DrdihCYtNeFeW1U',Glen Campbell,2eot2orcEQn5wR11DSVcbO,47.0,track:It s Only Make Believe artist:Glen Campbell,99.0,1970-01-01,It s Only Make Believe,1970.0,0.448,0.558,0,-5.482,1,0.0299,0.191,0.000735,0.276,0.537,112.742,147480,3,59hLmB5DrdihCYtNeFeW1U,"adult standards, arkansas country, brill building pop, bubblegum pop, classic country pop, folk, folk rock, lounge, mellow gold, nashville sound, soft rock",country
2LjBUwKueWIe8fhYGuUYBb,'3c8WoNjBfyLJhFObE6RHgs',Del Shannon,2271qTmPggEs2srV3i4g2e,33.0,track:Keep Searchin  (We ll Follow the Sun) artist:Del Shannon,99.0,1965-01-01,Keep Searchin  (We ll Follow the Sun),1965.0,0.407,0.679,4,-9.465,0,0.0359,0.238,0.929,0.814,0.855,149.195,128973,4,3c8WoNjBfyLJhFObE6RHgs,"adult standards, brill building pop, bubblegum pop, doo-wop, folk rock, merseybeat, rock-and-roll, rockabilly",rock
5ac37rWzJxLvBcXyu6ShVz,'7mPcfx7PhnBh6n4HMCd61A',John Michael Montgomery,15cGdiAHmezm0P04jVAjMo,57.0,track:Letters from Home artist:John Michael Montgomery,99.0,2004-04-20,Letters from Home,2004.0,0.644,0.626,0,-7.243,1,0.0258,0.367,5.78e-06,0.155,0.388,128.029,267533,4,7mPcfx7PhnBh6n4HMCd61A,"contemporary country, country, country road, country rock",country
6QPkyl04rXwTGlGlcYaRoW,'31TPClRtHm23RisEBtV3X7',Justin Timberlake,6W2Ef5Ph6ILTUAedoQ3QIv,63.0,track:Like I Love You artist:Justin Timberlake,99.0,2002-11-04,Like I Love You,2002.0,0.853,0.811,6,-4.927,0,0.0646,0.0439,0.000307,0.0703,0.9,114.964,283627,4,31TPClRtHm23RisEBtV3X7,"dance pop, pop",pop
2ZVW6ms7mQisq55YMLJsIe,'218kRJZ7FJs0hWIk8Ynzhz',Charlie Rich,5NTSEHKXOPJl8Jf1FIdAof,14.0,track:Lonely Weekends artist:Charlie Rich,99.0,1969-01-01,Lonely Weekends,1960.0,0.413,0.817,5,-8.873,1,0.0964,0.773,2.06e-05,0.13,0.547,183.421,126109,4,218kRJZ7FJs0hWIk8Ynzhz,"arkansas country, country, country rock, nashville sound, rockabilly",country
3cyyJALrHc8LawnQNFYRWL,'15UsOTVnJzReFVN1VCnxy4',XXXTentacion,7floNISpH8VF4z4459Qo18,82.0,track:Look at Me! artist:XXXTentacion,99.0,2017-02-20,Look at Me!,2017.0,0.763,0.726,1,-6.405,1,0.282,0.259,0.0,0.0976,0.349,139.059,126346,4,15UsOTVnJzReFVN1VCnxy4,"emo rap, miami hip hop",hip hop/rap
02qpXPd0YbBzTp6Aro9Rs4,'2iIn8H3l2NNBNHFpYKWbfo',The Kingsmen,5xmwWhTaqXQcICOWrXJCJz,13.0,track:Louie Louie artist:The Kingsmen,99.0,1979-10-05,Louie Louie,1964.0,0.647,0.812,2,-6.62,1,0.0536,0.322,0.0,0.178,0.96,123.631,161612,4,2iIn8H3l2NNBNHFpYKWbfo,classic garage rock,rock
3jZUAzlDcrJMaL9EXK51aP,'37YcGi7z4aXgzWu4jGRe4H',Mellow Man Ace,3P6fS71hWhZvOnnxQojJ0Z,43.0,track:Mentirosa artist:Mellow Man Ace,99.0,1989-01-01,Mentirosa,1990.0,0.966,0.505,1,-14.762,1,0.111,0.0678,0.0,0.197,0.826,113.592,258533,4,37YcGi7z4aXgzWu4jGRe4H,chicano rap,hip hop/rap
1ZJtkYBzRb7drznu3UYb3k,"'1vyhD5VmyZ7KMfW5gqLgo5', '4RSyJzf7ef6Iu2rnLdabNq'",J Balvin  ,4ipnJyDU3Lq15qBAYNqlqK,71.0,track:Mi Gente artist:J Balvin  ,99.0,2017-06-30,Mi Gente,2018.0,0.774,0.687,11,-4.818,0,0.0584,0.0179,1.17e-05,0.128,0.308,104.959,189440,4,1vyhD5VmyZ7KMfW5gqLgo5,"latin, reggaeton, reggaeton colombiano, trap latino",hip hop/rap
